model,strategy,threshold,target_met,auc_pr,auc_pr_lift,roc_auc,precision,recall,f1,accuracy,alert_rate,value_detection_rate,cost_per_txn_gbp,saving_vs_default_pct
Logistic Regression,default_0.5,0.5,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.7737003058103975,0.24483870967741936,0.3719676549865229,0.9710663565961482,0.01107448465828272,0.1629802448109426,3.05135261614846,0.0
Logistic Regression,cost_optimal,0.23214285714285715,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.5145210229735587,0.3829032258064516,0.439060477159238,0.9657605382583369,0.02604366575602267,0.3106853380442076,2.9263686353082066,4.096018932024092
Logistic Regression,f1_optimal,0.2102583703853157,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.4444444444444444,0.42451612903225805,0.43425177363471373,0.9612901040843512,0.03342665552821115,0.3597420611102134,2.9799432740591447,2.340252047940992
Logistic Regression,youden_j,0.03375527426160337,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.13244659865862593,0.7580645161290323,0.22549537014825122,0.8177620735589624,0.20030028673996975,0.7719852653333134,7.139923450085043,-133.99207985006143
Logistic Regression,elkan_closed_form,0.2779317269250646,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.5764033264033264,0.35774193548387095,0.44148089171974525,0.9683231356257479,0.021719988259465806,0.27462980928558195,2.9119202643222435,4.569526022273153
Logistic Regression,precision_target_90,0.8661005892016214,True,0.4236080258153442,12.104531013798328,0.8679112335288848,0.898936170212766,0.10903225806451614,0.19447640966628307,0.9683908694768689,0.004244654670249035,0.06238836636077776,3.359507116738896,-10.098947560488808
Logistic Regression,recall_target_90,0.011786038077969175,True,0.4236080258153442,12.104531013798328,0.8679112335288848,0.06307961311170625,0.9193548387096774,0.11805886373521675,0.5193041475694836,0.510047187916281,0.9316946017808414,17.2491730390729,-465.29595916860967
Logistic Regression,example_dependent,,,0.4236080258153442,12.104531013798328,0.8679112335288848,0.5117206982543641,0.3309677419354839,0.4019588638589618,0.9655347587546003,0.022634395249599242,0.41605886007908793,2.7231537750652888,10.7558477295042
Random Forest,default_0.5,0.5,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.8270154831820609,0.4996774193548387,0.6229640056304042,0.978833171524689,0.021144250524937347,0.42152927083029507,2.234752305813211,0.0
Random Forest,cost_optimal,0.3593073593073593,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.716015625,0.5912903225806452,0.6477031802120141,0.977489783477456,0.0288997764782913,0.5301004580500723,2.0540897127585995,8.084233433148631
Random Forest,f1_optimal,0.3333333333333333,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.7152886115444618,0.5916129032258064,0.6475988700564972,0.9774672055270822,0.02894493237903863,0.5304154578116262,2.054215469136129,8.078606125943153
Random Forest,youden_j,0.03426791277258567,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.21711057304277642,0.867741935483871,0.3473208521626856,0.885868460861123,0.13987040256485517,0.8488322246097599,4.591908586014203,-105.47729491404365
Random Forest,elkan_closed_form,0.2779317269250646,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.715009746588694,0.5916129032258064,0.6474845542806708,0.9774559165518955,0.028956221354225462,0.5304154578116262,2.0546105832676687,8.060925681872849
Random Forest,precision_target_90,0.7625,True,0.6725209002455516,19.217176253403693,0.9448098618762221,0.9120188531029065,0.37451612903225806,0.5309855934141322,0.9768463118918065,0.014370865412837823,0.28544625802872897,2.5903910201724427,-15.914010399905019
Random Forest,recall_target_90,0.020321123933768188,True,0.6725209002455516,19.217176253403693,0.9448098618762221,0.1277391769107429,0.9251612903225807,0.2244834063869756,0.7762976676977263,0.2534600708947642,0.902185628377138,8.314132774127307,-272.03822331897544
Random Forest,example_dependent,,,0.6725209002455516,19.217176253403693,0.9448098618762221,0.6477354421279655,0.5812903225806452,0.6127167630057804,0.9742837145243954,0.03140592896976813,0.5981022811452714,2.0284136981423027,9.233175736486086
XGBoost,default_0.5,0.5,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.9149345650500385,0.766774193548387,0.8343278343278343,0.9893432074236301,0.029328757535390937,0.7215975070748366,1.236664857114743,0.0
XGBoost,cost_optimal,0.3958333333333333,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.8826937002172339,0.7864516129032258,0.83179802115319,0.9888690704657831,0.031180149466031475,0.7438823878565796,1.206465523307708,2.4419982207218913
XGBoost,f1_optimal,0.3958333333333333,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.8826937002172339,0.7864516129032258,0.83179802115319,0.9888690704657831,0.031180149466031475,0.7438823878565796,1.206465523307708,2.4419982207218913
XGBoost,youden_j,0.035578144853875476,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.3761504601840736,0.9096774193548387,0.5322261017269039,0.9440405499988711,0.08463344697568355,0.8915798430272105,2.465830235686247,-99.39357227626442
XGBoost,elkan_closed_form,0.2779317269250646,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.8815456843625857,0.7874193548387097,0.83182825012779,0.9888577814905963,0.0312591722923393,0.7445798100515519,1.2053716000843988,2.5304557536594157
XGBoost,precision_target_90,0.4806754711995644,True,0.8685674799571768,24.8191756482473,0.9741033482996986,0.9145825317429781,0.766774193548387,0.8341814353395333,0.9893319184484433,0.02934004651057777,0.7215975070748366,1.237059971246282,-0.03194997652484262
XGBoost,recall_target_90,0.035578144853875476,True,0.8685674799571768,24.8191756482473,0.9741033482996986,0.3761504601840736,0.9096774193548387,0.5322261017269039,0.9440405499988711,0.08463344697568355,0.8915798430272105,2.465830235686247,-99.39357227626442
XGBoost,example_dependent,,,0.8685674799571768,24.8191756482473,0.9741033482996986,0.8529107819497072,0.7987096774193548,0.8249208728968849,0.988135287078639,0.032771894967374864,0.7906908590868754,1.1358939727499109,8.148600955633203
